scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Abebaioscia troglodytes,urn:lsid:biodiversity.org.au:afd.taxon:b6ce3500-d979-4707-beae-d4de94893251,dr1411,Western Australia,Australia,
Abutilon sp. Pritzelianum (S.van Leeuwen 5095),https://id.biodiversity.org.au/node/apni/2905152,dr15860,Western Australia,Australia,
Acacia adinophylla,https://id.biodiversity.org.au/node/apni/2898130,dr15860,Western Australia,Australia,
Acacia adinophylla,https://id.biodiversity.org.au/node/apni/2898130,dr15861,Western Australia,Australia,
Acacia adinophylla,https://id.biodiversity.org.au/node/apni/2898130,dr15863,Western Australia,Australia,
Acacia adjutrices,https://id.biodiversity.org.au/taxon/apni/51285820,dr15861,Western Australia,Australia,
Acacia adjutrices,https://id.biodiversity.org.au/taxon/apni/51285820,dr15863,Western Australia,Australia,
Acacia adjutrices,https://id.biodiversity.org.au/taxon/apni/51285820,dr725,Western Australia,Australia,
Acacia alata var. platyptera,https://id.biodiversity.org.au/node/apni/2904348,dr15860,Western Australia,Australia,
Acacia alata var. platyptera,https://id.biodiversity.org.au/node/apni/2904348,dr15863,Western Australia,Australia,
Acacia alata var. platyptera,https://id.biodiversity.org.au/node/apni/2904348,dr15865,Western Australia,Australia,
Acacia alata var. platyptera,https://id.biodiversity.org.au/node/apni/2904348,dr15868,Western Australia,Australia,
Acacia alata var. platyptera,https://id.biodiversity.org.au/node/apni/2904348,dr376,Western Australia,Australia,
Acacia alata var. platyptera,https://id.biodiversity.org.au/node/apni/2904348,dr725,Western Australia,Australia,
Acacia alexandri,https://id.biodiversity.org.au/node/apni/2904701,dr15861,Western Australia,Australia,
Acacia alexandri,https://id.biodiversity.org.au/node/apni/2904701,dr15863,Western Australia,Australia,
Acacia alexandri,https://id.biodiversity.org.au/node/apni/2904701,dr376,Western Australia,Australia,
Acacia ampliata,https://id.biodiversity.org.au/node/apni/2919087,dr15860,Western Australia,Australia,
Acacia ampliata,https://id.biodiversity.org.au/node/apni/2919087,dr15863,Western Australia,Australia,
Acacia ampliata,https://id.biodiversity.org.au/node/apni/2919087,dr15865,Western Australia,Australia,
Acacia ampliata,https://id.biodiversity.org.au/node/apni/2919087,dr15866,Western Australia,Australia,
